date,price,price_se,delta_kospi_norm,delta_samsung_norm,delta_kospi_mkt,delta_samsung_mkt
2021-10-22,9887.936234990388,3.298093946369256,1007.9864595833895,2774.015211836013,2.56485104219692,0.0394036251681251
2021-10-25,9931.378484212171,3.1353916038989462,860.991966066712,1980.660280846312,2.1908192520781475,0.0281343789892941
2021-10-26,9996.500946285896,2.824341940832548,674.0971665535325,1764.4974706839223,1.71525996578507,0.0250638845267602
2021-10-27,9944.554927766923,3.053125136704381,766.6482374802484,2582.1399084638606,1.950758873995543,0.0366781236997707
2021-10-28,9953.274811250432,2.9864180931772766,882.9904716269979,2234.1704958234254,2.246795093198468,0.0317353763611282
2021-10-29,9919.285175310712,3.157641207772176,989.0278504774038,2546.935598567021,2.51661030655828,0.0361780624796451
2021-11-01,9912.188780197042,3.1699971386633266,1151.805074696983,2418.803118280185,2.9308017167862164,0.0343579988392071
2021-11-02,10012.946511587565,2.712124091854596,1117.637698804909,1617.1830183109985,2.8438618290201245,0.0229713496919175
2021-11-03,9896.23805491334,3.232429353936963,844.2731205472385,2406.0802535317634,2.148277660425544,0.0341772763285761
2021-11-04,9888.598917690018,3.2414802890656143,793.3062709938791,2427.573675203898,2.018591020340659,0.0344825806136917
2021-11-05,9903.055051686371,3.2151454232347887,730.8448241713631,2122.463264867394,1.8596560411485068,0.0301486259214118
2021-11-08,9950.289113831874,3.036862153797635,1224.3665691242495,1886.338638139319,3.1154365626571234,0.0267945829281153
2021-11-09,9983.570996399272,2.917076053265032,1216.3874456574963,2163.912669723046,3.0951334495101688,0.0307373958767478
2021-11-10,10000.319287667207,2.8815117378791952,999.991086537224,1781.3393582296812,2.544506581519654,0.0253031158839443
2021-11-11,10006.369200625117,2.8657443323738283,1061.7268869261547,1805.2308756370965,2.70159513212762,0.025642484028936
2021-11-12,10063.942274395838,2.5423625642019423,658.786997478363,1462.9325579035474,1.6763027925658092,0.0207802920156753
2021-11-15,10093.807249578344,2.342412522319257,710.7558968190262,1433.282035195762,1.808539177656556,0.0203591198181216
2021-11-16,10089.917795435158,2.353713573256568,563.3817297832841,1357.4178340568956,1.4335412971584836,0.0192815033246718
2021-11-17,10098.184215897649,2.3775408294260525,559.9592811177621,1321.1284501948512,1.424832776381074,0.0187660291220859
2021-11-18,10086.350143630349,2.4880286320881035,909.6710721402728,1383.0669883834055,2.3146846619345367,0.0196458379031733
2021-11-19,10127.247661091678,2.182197852405804,722.80897557957,1097.9511673496336,1.839208589260992,0.0155958972634891
2021-11-22,10171.002205984018,1.6900826431526428,435.94105170458346,634.7657677926635,1.1092647626070826,0.0090165592016003
2021-11-23,9899.824773349052,3.19682850307364,1314.5640026037684,1753.3393461927806,3.344946571510861,0.0249053884402383
2021-11-24,9899.368585265653,3.199607203200794,1357.1156490830188,1901.3778142563428,3.453220481127274,0.0270082075888685
2021-11-25,9887.389270525207,3.266057570181751,1479.504008113057,2188.990100376297,3.764641242017957,0.0310936093803451
2021-11-26,9823.151375185746,3.544517765994241,1436.509988638505,2513.4519774305168,3.6552417013702425,0.0357024428612289
2021-11-29,9782.705501011646,3.709905853893574,2029.0485683583072,2631.913331083236,5.162973456382461,0.0373851325437959
2021-11-30,9725.01552917742,3.944667190081604,2448.660396968189,2680.634145026254,6.230688032997937,0.038077189560032
2021-12-01,9823.349511489228,3.543927146156445,2917.0841108360723,1428.1418979018194,7.422605879990006,0.0202861065042872
2021-12-02,9722.75169625734,3.895628836245161,2671.8675305697984,1592.9458087085811,6.798645115953685,0.0226270711464287
2021-12-03,9718.01167011173,3.906899905846835,2616.9168886641323,1620.1929588799,6.6588215996542806,0.023014104529544
2021-12-06,9793.610265198757,3.644911644335847,2411.356061336573,1382.1152770893998,6.135766059380594,0.019632319276838
2021-12-07,9866.116322719428,3.3601510093452043,2436.681202116468,1108.0770299790015,6.200206621161496,0.0157397305394744
2021-12-08,9896.11695321246,3.24226788194542,2295.902074980278,1172.6614485426282,5.841990012672463,0.0166571228486168
2021-12-09,9963.250892375314,2.9222344958737536,1698.6182619337162,1197.1540212927996,4.322183872604876,0.0170050287115454
2021-12-10,9941.86379654374,3.026860719626812,1783.064504732023,1363.2076867107182,4.53705980847843,0.0193637455498681
2021-12-13,9944.089405345689,3.024730124641178,1632.192682765101,1236.8806162857709,4.1531620426592895,0.0175693269358774
2021-12-14,9979.561566057106,2.8824560777529737,1905.7797681731165,1278.0941587042928,4.849312387208948,0.0181547465725041
2021-12-15,10017.669835605178,2.682250273057529,1927.2601208476603,1024.0045264839302,4.903969773149263,0.0145455188421012
2021-12-16,10050.605966545474,2.4993873381812293,1562.6864319227611,1032.5949157011044,3.976301353493031,0.0146675414162088
2021-12-17,10086.708837844224,2.2899817466408603,1433.723389878363,671.1863046875657,3.648151119283366,0.0095338963734029
2021-12-20,10073.05068429256,2.44998529551402,1638.8248733545838,1140.7212601532876,4.170037845685964,0.0162034269908137
2021-12-21,10072.46481849328,2.433791952301559,1961.3179755815647,463.3333914186052,4.990630981123576,0.0065814402190142
2021-12-22,10099.592847461994,2.256770391483447,1493.9600974734817,422.7839395967464,3.801425184410894,0.0060054536874537
2021-12-23,10114.017500178908,2.1424793796649197,1413.2457693123354,351.8801723009946,3.5960452145352044,0.0049982979020027
2021-12-24,10149.129046704327,1.8634033750911283,1063.3314226182324,518.819223373502,2.705677920148174,0.0073695912411008
2021-12-27,10153.839420342108,1.847418223031149,1005.5326297362128,190.0281003013136,2.5586072003465974,0.0026992627883709
